"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"38","cued",1,0,0,10,1,2,1,1,0,1,1,38,2,125,130,125,130,96,0.299936932934,1.41997888951,130,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.619656012568,1,1.77017507646,137,1.3,"a",0,5,7,5,-2,-18,20,2
"39","cued",1,1,0,10,2,1,2,2,0,1,1,39,2,111,105,111,105,156,0.339876203467,NA,113,"[ 1.9]",2,13,23,33,43,53,63,73,78,0,0.299708581479,1,1.09026522721,123,1.4,"a",0,2,10,2,-8,-2,7,5
"40","neutral",0,1,0,10,2,1,0,2,2,1,1,40,2,159,31,159,31,49,0.509958677401,2.42986109922,150,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.309726600211,1,1.10026371589,162,1.1,"a",0,-9,12,9,-3,-8,10,2
"41","cued",1,1,1,10,2,1,1,1,0,1,1,41,2,140,140,140,140,16,0.0999317048881,1.99997446069,155,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.399712697814,1,1.22025789893,-178,1.3,"a",0,15,27,15,-12,-3,12,9
"42","neutral",0,0,1,10,1,2,0,2,2,1,1,42,2,18,143,143,18,53,0.48988117612,2.14987006502,155,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.759704561293,1,1.31033353434,175,1.5,"a",0,12,20,12,-8,-12,27,15
"43","neutral",0,1,0,10,2,1,0,2,2,1,1,43,2,23,65,23,65,107,0.58987147118,1.99983534658,17,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.459667574363,1,1.0002920495,-7,1.2,"a",0,-6,24,6,-18,-8,20,12
"44","neutral",0,0,1,10,1,2,0,2,2,1,1,44,2,155,22,22,155,127,0.949868742984,2.47984242548,30,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.379661036299,1,1.03032447239,20,1,"a",0,8,10,8,-2,-18,24,6
"45","cued",1,1,1,10,2,1,1,1,0,1,1,45,2,100,156,156,100,101,0.26992013408,1.39990739748,163,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.439701244184,1,1.07021747171,179,1.4,"a",0,7,16,7,-9,-2,10,8
"46","cued",1,1,0,10,2,1,2,2,0,1,1,46,2,74,107,74,107,35,0.039922144173,1.79997253773,67,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.559650057403,1,2.10017117345,100,1,"a",0,-7,33,7,-26,-9,16,7
"47","neutral",0,0,1,10,1,2,0,2,2,1,1,47,2,90,77,77,90,69,0.449808199803,1.53977927428,71,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.469608073785,1,1.5401638662,63,1.1,"a",0,-6,8,6,-2,-26,33,7
"48","neutral",0,1,0,10,2,1,0,2,2,1,1,48,2,139,59,139,59,119,0.899827925157,1.79995000305,113,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.429646268571,1,1.70017063262,126,1.3,"a",0,-26,13,26,13,-2,8,6
"49","neutral",0,0,1,10,1,2,0,2,2,1,1,49,2,67,176,176,67,37,0.759813929621,2.75976825933,161,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.379705805204,1,1.23031467732,-180,1.1,"a",0,-15,19,15,-4,13,13,26
"50","cued",1,0,0,10,1,2,1,1,0,1,1,50,2,155,103,155,103,136,0.149943377852,1.06003419864,163,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.249658749781,1,1.39025353922,176,1.4,"a",0,8,13,8,-5,-4,19,15
"51","neutral",0,0,0,10,1,2,0,1,1,1,1,51,2,93,40,93,40,18,0.599937864368,NA,67,"[ 1.6]",1,11,21,31,41,51,61,71,76,0,0.579682489319,1,1.66053603101,34,1.2,"a",0,-26,33,26,-7,-5,13,8
"52","neutral",0,1,0,10,2,1,0,2,2,1,1,52,2,49,95,49,95,148,0.909898224359,2.1698931826,52,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.299645784828,1,1.06029079356,40,1.3,"a",0,3,12,3,-9,-7,33,26
"53","cued",1,0,0,10,1,2,1,1,0,1,1,53,2,150,131,150,131,116,0.329891836525,1.84991570526,148,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.569565017518,1,1.57016173593,158,1.4,"a",0,-2,10,2,-8,-9,12,3
