"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"226",1,1,0,1,6,1,2,2,2,0,1,1,226,8,156,15,15,156,37,0.299898656698,1.14997997471,6,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.289685907872,1,0.880306740006,27,1.4,"a"
"227",1,1,1,0,6,2,1,2,2,0,1,1,227,8,94,141,94,141,150,0.289904939202,1.01002135931,139,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.309576296062,1,0.900240994551,126,1.4,"a"
"228",1,1,0,1,6,1,2,2,2,0,1,1,228,8,166,144,144,166,34,0.319908926233,1.4999250366,171,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.309659822413,1,1.27017709689,123,1.1,"a"
"229",0,0,0,1,6,1,2,0,2,2,1,1,229,8,143,173,173,143,65,0.779872312847,2.08990319657,177,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.309662226049,1,1.1802952326,168,1.2,"a"
"230",1,1,0,1,6,1,2,2,2,0,1,1,230,8,137,39,39,137,104,0.439905645269,1.40991517869,43,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.499653125284,1,1.4001987807,71,1.3,"a"
"231",1,1,1,1,6,2,1,1,1,0,1,1,231,8,143,17,17,143,122,0.269852305582,0.939974900031,40,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.339671320806,1,1.10026436991,71,1.3,"a"
"232",1,1,1,0,6,2,1,2,2,0,1,1,232,8,3,78,3,78,24,0.419963879362,2.40985088143,0,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.379553650808,1,1.36008149528,12,1,"a"
"233",0,0,1,1,6,2,1,0,1,1,1,1,233,8,127,16,16,127,48,0.679851010624,1.91989101914,7,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.3596620608,1,1.12017368674,25,1.1,"a"
"234",1,1,0,1,6,1,2,2,2,0,1,1,234,8,62,80,80,62,85,0.749798620374,1.3300144128,85,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.279669656289,0,NA,100,1.1,"a"
"235",0,0,1,0,6,2,1,0,2,2,1,1,235,8,75,119,75,119,123,1.18980882381,2.0698806084,43,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.389740260091,1,1.15027832602,89,1.1,"a"
"236",0,0,0,0,6,1,2,0,1,1,1,1,236,8,22,45,22,45,120,1.22980382424,2.3398681185,177,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.299695549456,1,1.20023038851,148,1.1,"a"
"237",1,1,0,0,6,1,2,1,1,0,1,1,237,8,118,25,118,25,19,0.319896607598,2.03987001137,145,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.569622367755,1,1.8401167446,110,1.2,"a"
"238",0,0,0,0,6,1,2,0,1,1,1,1,238,8,30,63,30,63,173,0.84986949759,1.81990336782,30,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.46965034007,1,1.71038710257,60,1.4,"a"
"239",0,0,1,1,6,2,1,0,1,1,1,1,239,8,120,9,9,120,89,0.929887741186,2.21000657695,36,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.319617485371,1,2.16007644764,53,1.3,"a"
"240",0,0,1,0,6,2,1,0,2,2,1,1,240,8,6,34,6,34,21,1.02982882206,2.43987139346,175,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.33969565762,1,1.10024904673,130,1.4,"a"
