"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv"
"264",1,1,0,0,1,1,2,1,1,0,1,1,264,9,93,174,93,174,148,0.489866897971,1.80971556769,109,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.569636176975,1,1.72017988498,131,1.5
"265",0,0,1,0,1,2,1,0,2,2,1,1,265,9,32,59,32,59,96,1.38967998849,2.76961129978,18,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,1.01956795997,1,1.68016184601,32,1.3
"266",0,0,0,0,1,1,2,0,1,1,1,1,266,9,88,46,88,46,2,0.629818567704,1.88978229146,78,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.579645343681,1,1.6701734103,93,1
"267",1,1,0,1,1,1,2,2,2,0,1,1,267,9,171,49,49,171,151,0.529921291307,2.03981072898,63,"[ 2.]",2,14,24,34,44,54,64,74,79,1,1.68950641895,1,2.65002348011,88,1.2
"268",1,1,0,0,1,1,2,1,1,0,1,1,268,9,159,50,159,50,124,0.649841107408,1.77983198277,165,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.719694358975,1,1.73012956273,154,1.5
"269",0,0,1,0,1,2,1,0,2,2,1,1,269,9,114,102,114,102,87,0.639858079787,1.94986132764,109,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.569685150205,1,1.55027192161,125,1.3
"270",0,0,1,1,1,2,1,0,1,1,1,1,270,9,0,28,28,0,67,0.909875436741,2.04984843837,125,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.739580194264,1,2.1900666066,163,1.3
"271",1,1,0,0,1,1,2,1,1,0,1,1,271,9,39,161,39,161,77,0.659789583364,1.90983307339,34,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.519612576685,1,1.33012944255,52,1.4
"272",1,1,0,1,1,1,2,2,2,0,1,1,272,9,97,94,94,97,31,3.19949079859,4.57954649588,101,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.699580783146,1,1.86006245138,116,1.2
"273",1,1,1,0,1,2,1,2,2,0,1,1,273,9,93,127,93,127,41,1.45963959909,2.72972065129,102,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.929486961853,1,1.89010226992,112,1.3
"274",1,1,1,1,1,2,1,1,1,0,1,1,274,9,114,115,115,114,45,0.859737665731,2.04975980584,111,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.519600859165,1,1.46013624172,128,1.5
"275",0,0,0,1,1,1,2,0,2,2,1,1,275,9,68,15,15,68,115,0.659845767375,2.38988549578,16,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.569663517857,1,1.69017221451,92,1.3
"276",0,0,0,1,1,1,2,0,2,2,1,1,276,9,68,48,48,68,161,0.73985480489,2.17980265892,113,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.549662310053,1,1.31029798858,143,1
"277",1,1,1,1,1,2,1,1,1,0,1,1,277,9,82,179,179,82,120,0.739856006687,2.14969944558,175,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,2.92928866534,1,3.87987016987,165,1.5
"278",1,1,1,0,1,2,1,2,2,0,1,1,278,9,135,154,135,154,92,0.529857896512,1.719806727,138,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.619636642672,1,1.30017435071,157,1
"279",1,1,1,1,1,2,1,1,1,0,1,1,279,9,94,73,73,94,31,0.649836300219,1.68979665293,69,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.519674168785,1,1.34020230451,85,1.2
