"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"77",0,0,0,0,3,1,2,0,1,1,1,1,77,3,173,18,173,18,114,2.44977334479,3.75980377285,168,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.599674056342,1,1.32015877729,145,1.2,"a"
"78",0,0,1,1,3,2,1,0,1,1,1,1,78,3,178,95,95,178,8,1.99973198591,3.60975853796,112,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.389645641495,1,1.25024976092,94,1,"a"
"79",1,1,1,0,3,2,1,2,2,0,1,1,79,3,131,131,131,131,111,0.829955263878,1.83999197156,128,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.689720186696,1,1.83025993465,112,1.1,"a"
"80",0,0,0,1,3,1,2,0,2,2,1,1,80,3,130,164,164,130,86,1.01985137234,2.34989001509,145,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.76963856857,1,1.80022282427,119,1.2,"a"
"81",0,0,1,0,3,2,1,0,2,2,1,1,81,3,93,2,93,2,38,0.849912099191,2.08994998172,83,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.729604111344,1,1.83015807724,69,1.3,"a"
"82",1,1,0,1,3,1,2,2,2,0,1,1,82,3,139,176,176,139,14,0.569951532059,1.79995060363,172,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.769585386384,1,2.36009588413,162,1.2,"a"
"83",0,0,1,0,3,2,1,0,2,2,1,1,83,3,70,91,70,91,79,0.959781358193,2.01993279817,69,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.89954308403,1,1.94023675978,84,1.3,"a"
"84",0,0,1,1,3,2,1,0,1,1,1,1,84,3,71,76,76,71,106,0.799922360049,1.81994199241,68,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.679501397593,1,1.60011724115,81,1.1,"a"
"85",1,1,1,1,3,2,1,1,1,0,1,1,85,3,104,58,58,104,42,0.989898992935,1.9900699571,64,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.619616469368,1,1.47029294964,51,1.3,"a"
"86",1,1,1,0,3,2,1,2,2,0,1,1,86,3,20,81,20,81,15,0.589848575066,1.9698616332,31,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.649722987029,1,1.77023709338,19,1.4,"a"
